@revC_Rain	1432545037	いよいよ開始！！！！！！！！！　#EP演習
@od_bird	1432545038	目指せ１００００ツイート！！#EP演習
@frog_aboon	1432545041	こっちもドキドキ  #EP演習
@HRYooba	1432545043	かわいい #EP演習
@elacdali	1432545044	始まるぞ～ #EP演習
@nao_minty	1432545045	そろそろトレンド入りか？ #EP演習
@LygxXivN2DbQskK	1432545047	出ないけど緊張する、、、 #EP演習
@kkrnt	1432545048	最前列の威圧感ww#EP演習
@yoh7686	1432545049	コンテンツ作りにはスキルだけでなく、持っているスキルをいかにやりくりして物作りをするかという事が大切。この演習はまさに最小スキルでぶっ飛んだものが出てくるのが楽しい！ #ep演習
@matatsuna	1432545049	九時までよろしくお願いします！！#EP演習
@mkk_fms	1432545052	いぇい！！！！#EP演習
@aristocrat_	1432545052	一番手 #EP演習
@thistle0701	1432545053	21時は大変だ#EP演習
@7th_FMS	1432545053	がんばれ！！#EP演習
@fms_hama	1432545059	たかひろーー！！#EP演習
@tvsrremix	1432545060	うおああああああええええああええ！！！ #EP演習
@revC_Rain	1432545060	３時間で５０００ツイート目指すよ！！！#EP演習
@FMS_Cat	1432545061	よろしくおねがいします #EP演習
@F_Rikuya	1432545062	1人目だ！ #EP演習
@tkd_phydes	1432545064	さあ開始!! #EP演習
@tkhs256	1432545066	一人目！　#EP演習
@auk_key_ikon	1432545066	#EP演習何階でしたっけ、、
@matatsuna	1432545068	一人目！#EP演習
@09SY29balett	1432545070	地震を打ち消すトレンド入りを目指す　#EP演習
@ryo_corleonis	1432545071	keitalabいきなりきたねー#EP演習
@mokurei123	1432545072	アショーカや　#EP演習
@pvcresinfmsfms	1432545078	がんばれ～ #EP演習
@tkgdisco	1432545080	浅岡ｗｗ #EP演習
@liz_ei	1432545081	最初！ #ep演習
@nyu___nSfms	1432545083	年々人が増えていくのが、たいへんやな#EP演習
@tkw_fms	1432545084	一人目 #EP演習
@sskai_fms	1432545087	1人目#EP演習
@matatsuna	1432545088	頑張れ！！#EP演習
@09SY29balett	1432545092	渡邊研から　#EP演習
@mkk_fms	1432545093	がんばれいいいいい！#EP演習
@tkhs256	1432545093	3年生がうるさい　#EP演習
@od_bird	1432545098	がんばれ浅岡くん　#EP演習
@knt800_run	1432545099	一人め　#EP演習
@sskai_fms	1432545101	国際問題ww#EP演習
@kszrs270_fms	1432545101	浅岡がんばれ！！ #EP演習
@tkgdisco	1432545106	これは国際的な問題 #EP演習
@pvcresinfmsfms	1432545111	国際問題ｗｗ #EP演習
@matatsuna	1432545112	#HSP国際問題おお！#EP演習
@F_Rikuya	1432545115	ルービックキューブや #EP演習
@HRYooba	1432545120	すげええ #EP演習
@nao_minty	1432545121	一発目で3Dかよ… #EP演習
@fms_hama	1432545122	しっかりﾙｰﾋﾞｯｸ#EP演習
@3846masa	1432545124	ルービックキューブって難しいんだよねぇ #EP演習
@kitsune0427	1432545126	3Dもうでちゃったか #EP演習
@mugityalove	1432545129	しょっぱなからすげぇｗｗｗｗ　#EP演習
@09SY29balett	1432545129	これが一人目である　#EP演習
@matatsuna	1432545132	ルービックキューブ#EP演習
@senninmame	1432545132	自動シャッフル　#EP演習
@5618kurokki	1432545132	全自動である #EP演習
@harmonychild527	1432545133	ルービックキューブ#EP演習#HSP国際問題
@nagistars_fms	1432545135	ルービックだこれ　#EP演習
@tkd_phydes	1432545137	初めこれかよwwwwwwwwww#EP演習
@sy_724	1432545137	いきなりこれかーwww #EP演習
@tkw_fms	1432545138	ルービックキューブすげえええええええ  #EP演習
@sskai_fms	1432545138	え、すごいwww#EP演習
@ryo_corleonis	1432545143	しょっぱなからこれかー#EP演習
@mkk_fms	1432545144	浅岡君すごい#EP演習
@kkrnt	1432545144	スゲー#EP演習
@revC_Rain	1432545145	いきなりやばい！　#EP演習　#HSP国際問題
@fms_pilkul	1432545147	めっちゃよく出来てる #EP演習
@mokurei123	1432545148	トップこれは後半ツライなｗｗ　#EP演習
@thistle0701	1432545148	ハードル上げないでー#EP演習
@pvcresinfmsfms	1432545148	はんぱないな #EP演習
@koroendo7	1432545150	普通にすげえ#EP演習
@matatsuna	1432545151	方向も自由自在！！#EP演習
@vaseline_gk	1432545154	すげええ完成してる！！　#EP演習
@fms_hama	1432545154	はじめから凄い！#EP演習
@fms3_hy	1432545155	最初からレベルたけー#EP演習
@7th_FMS	1432545156	すげえええええええ　#EP演習
@nao_minty	1432545156	ハードルをぶち上げていくね #EP演習
@od_bird	1432545156	この前見たときよりすごいことになってる…　#EP演習
@satoken_fms	1432545157	トップから３D #EP演習
@kkrnt	1432545159	これスゴくね？#EP演習
@F_Rikuya	1432545159	凄え・・・ #EP演習
@thimi_fms	1432545162	ルービックキューブ！！動きが滑らか！！#EP演習 pic.twitter.com/Kkrdx0RiA5
@utgwn	1432545162	ルービックキューブやばい #EP演習
@de_kyuu	1432545163	このタイマーめっちゃ不安 #EP演習
@FMS_Lichen	1432545164	すげーーー！ #EP演習
@Tanion0311	1432545166	ルービックキューブ！！ すげぇーーー！！ #EP演習
@09SY29balett	1432545170	がんがん他の人のハードルをあげていくスタイル　#EP演習
@Sy_At_H	1432545171	ただのガチ勢ww#EP演習
@pvcresinfmsfms	1432545173	自動ｗｗ #EP演習
@ynmt_D	1432545173	ルービックキューブ(3D)、自動でスクランブル。ぬるぬる動くよ。自動で完成させることもできる #EP演習
@cygnus108x	1432545173	しょっぱなすげぇええええ　#EP演習
@matatsuna	1432545177	エンターでもとに戻すことが出来る！！#EP演習
@sskai_fms	1432545177	完成すごい！#EP演習
@HRYooba	1432545177	完成状態まで戻す！？ #EP演習
@senninmame	1432545178	自動で完成までもっていく　#EP演習
@fms_hama	1432545179	時間やばくね？#EP演習
@nagistars_fms	1432545179	全自動ルービックは初めて見たかも　　#EP演習
@tkw_fms	1432545182	自動で完成とかwwwwwwww #EP演習
@liz_ei	1432545182	なんでみんな3D使うん…すご… #ep演習
@knt800_run	1432545183	これやばい（笑）　#EP演習
@mugityalove	1432545188	う　そ　だ　ろ #EP演習
@nyu___nSfms	1432545191	しょっぱなから#EP演習
@od_bird	1432545192	あぁぁぁぁぁぁぁぁ　#EP演習
@fajiken1226	1432545193	すげー！！！ #EP演習
@kwzr	1432545195	おつ #HSP国際問題 #EP演習
@matatsuna	1432545198	これいいね！！#EP演習
@hanu_yuz	1432545198	ルービックキューブすごいな #EP演習
@shuto_fms	1432545199	←聞かれた人理解できませんでした #EP演習
@aristocrat_	1432545201	1. ルービックキューブ: いい矢印。AI付き。これ試行錯誤をしている動きだね。AIが学んでる動き。 #EP演習
@Air_mc	1432545201	最初からレベル高すぎだわ。。。笑　#EP演習
@okomehakumai979	1432545203	いきなりすげえの来た＃EP演習
@revC_Rain	1432545204	一発目やばい！お疲れ！！　#EP演習
@3846masa	1432545204	すごかった！！ #EP演習
@kitsune0427	1432545207	最初からこれなんですか…… #EP演習
@tkhs256	1432545207	クオータニオン・・・・・　#EP演習
@523523syu	1432545207	初っ端レベル上げすぎだろ！笑 #EP演習
@mugityalove	1432545208	マジかよマジかよ嘘だろｗｗｗ #EP演習
@knt800_run	1432545208	たかひろ（笑）　#EP演習
@HomeiMiyashita	1432545208	ルービックキューブ！自動完成機能も！ #EP演習 pic.twitter.com/sRzSXjlY4a
@senninmame	1432545209	一発目から3D！！！　#EP演習
@elacdali	1432545209	ハードルあげてくるね #EP演習
@fms3_hy	1432545210	プレッシャーやばい#EP演習
@nakamura	1432545210	1番手はちゃんと解くことができるルービックキューブ！ お～完成状態まで自動で動く！！ そういえばルービックキューブが得意な子だったっけか．もう最近3Dはデフォになっとるなぁ． #EP演習
@tkgdisco	1432545211	そう解決したんすねー。 #EP演習
@matatsuna	1432545211	頑張れ！！！#EP演習
@mkk_fms	1432545213	一番目からとてつもないの来た#EP演習
@tkw_fms	1432545214	最初からハードル上がりすぎィ↑  #EP演習
@vegetablekirby	1432545214	ハイクオリティ過ぎだろwwww #EP演習
@Magic_Gancelot	1432545215	解くまでやったの凄い #EP演習
@tvsrremix	1432545216	たかひろｗｗｗ #EP演習
@sskai_fms	1432545218	いきなり3Dで来たのは驚いた#EP演習
@nagistars_fms	1432545218	これは早速やべぇぞ　　#EP演習
@kabocha_muri	1432545219	タイマーとかはないのか  #EP演習
@tkd_meiji	1432545219	すまんね3年わからんくてw #EP演習
@kwzr	1432545223	クォータニオン理解していないB3「クォータニオン理解してない」 #HSP国際問題 #EP演習
@y_fkey	1432545223	#EP演習え、すげえ
@FMS_Lichen	1432545226	1発目からこれはハードル上がる #EP演習
@F_Rikuya	1432545229	1発目からヤバい #EP演習
@LygxXivN2DbQskK	1432545229	めっちゃすげーーーやってみたい！！！！ #EP演習
@phyver620	1432545230	ルービックキューブすごいわ　#EP演習
@FMS_Cat	1432545231	いきなり衝撃的。びっくりしたね。 #EP演習
@fms_hama	1432545231	たかひろはじまったーー！！#EP演習
@matatsuna	1432545232	たかひろ！！#EP演習
@tkd_phydes	1432545232	ハードルあかんことになってる#EP演習
@harmonychild527	1432545236	トップバッターからやばい#EP演習
@satoken_fms	1432545236	キューブのふちとかリアル #HSP国際問題 #EP演習
@tvsrremix	1432545236	温かい目で見るぜ！ #EP演習
@od_bird	1432545236	浅岡君GJ！　#EP演習
@ysmsask	1432545237	EP演習見に行けないけど1年生頑張って下さい！！！ #EP演習
@FMS_theta	1432545239	よろしくおねがいします#EP演習
